Transecto;Estaciones;Codigo;y;x;Profundidad;Temperatura;Conductividad;Sigma;Salinidad;Oxigeno_disuelto;Saturacion;Fluorescencia
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;5.25;15.4896;4.205445;24.9288;33.7866;7.0075;123.379;0.6319
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;5.5;15.4873;4.20531;24.9286;33.7865;6.9893;123.059;0.6193
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;5.75;15.4755;4.204527;24.929;33.7864;6.9935;123.128;0.6157
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;6;15.4348;4.201458;24.9281;33.783;7.0218;123.606;0.6251
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;6.25;15.3633;4.195115;24.9087;33.7487;7.0406;123.833;0.6123
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;6.5;15.2689;4.186465;24.9186;33.741;7.0408;123.655;0.6034
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;6.75;15.1498;4.175463;24.9211;33.7196;7.0576;123.722;0.6336
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;7;15.007;4.161909;24.9202;33.6839;7.122;124.525;0.6219
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;7.25;14.8541;4.147706;24.982;33.714;7.2132;125.698;0.6409
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;7.5;14.6871;4.132491;25.0206;33.7235;7.3017;126.882;0.6653
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;7.75;14.4937;4.113993;25.0275;33.6837;7.3932;127.995;0.6545
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;8;14.293;4.094252;25.0935;33.7002;7.49;129.032;0.6743
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;8.25;14.1267;4.078265;25.1983;33.7733;7.569;129.852;0.6732
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;8.5;13.9587;4.062979;25.2317;33.787;7.6219;130.483;0.6848
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;8.75;13.7304;4.040447;25.2099;33.7201;7.6599;130.699;0.6713
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;9;13.4771;4.014252;25.1399;33.5777;7.6757;130.338;0.669
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;9.25;13.2637;3.991813;25.2104;33.5852;7.6705;129.414;0.6693
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;9.5;13.1073;3.977138;25.3664;33.7252;7.6032;127.767;0.659
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;9.75;12.9935;3.966445;25.3925;33.7254;7.5474;126.493;0.7008
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;10;12.9091;3.958826;25.444;33.7631;7.5235;125.831;0.6429
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;10.25;12.8505;3.95381;25.4818;33.7917;7.4518;124.449;0.6286
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;10.5;12.8106;3.950659;25.5025;33.8088;7.2527;121.043;0.6339
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;10.75;12.772;3.947343;25.499;33.7972;7.0462;117.52;0.6339
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;11;12.7328;3.943861;25.5064;33.7969;6.9122;115.193;0.6277
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;11.25;12.6928;3.940276;25.5118;33.7931;6.8661;114.322;0.6475
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;11.5;12.6568;3.937168;25.5267;33.7993;6.9098;114.93;0.6372
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;11.75;12.6349;3.935953;25.5561;33.8278;6.9678;115.825;0.642
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;12;12.6229;3.935602;25.5632;33.8345;6.9771;115.962;0.6394
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;12.25;12.6105;3.934947;25.5616;33.8313;7.0599;117.325;0.6641
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;12.5;12.5935;3.933768;25.5648;33.8335;7.1914;119.492;0.7096
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;12.75;12.568;3.931556;25.5594;33.8243;7.3142;121.505;0.7051
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;13;12.5346;3.928271;25.5459;33.8015;7.4322;123.393;0.6986
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;13.25;12.498;3.924605;25.5383;33.7831;7.5569;125.359;0.7112
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;13.5;12.4604;3.920927;25.5521;33.7881;7.6811;127.287;0.6981
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;13.75;12.4265;3.917907;25.5748;33.8045;7.7287;127.952;0.7566
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;14;12.4001;3.915886;25.5993;33.8255;7.5248;124.482;0.7955
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;14.25;12.3873;3.9154;25.6185;33.845;6.885;113.862;0.762
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;14.5;12.3805;3.915618;25.6141;33.8398;6.3512;105.036;0.7867
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;14.75;12.3704;3.915708;25.6261;33.8539;6.2345;103.103;0.7646
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;15;12.3567;3.914986;25.6254;33.8507;6.2148;102.755;0.7764
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;15.25;12.3401;3.913779;25.6265;33.8485;6.2143;102.713;0.7503
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;15.5;12.3235;3.912539;25.6266;33.8435;6.1812;102.121;0.7248
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;15.75;12.3127;3.9124;25.6473;33.8649;6.1012;100.767;0.7173
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;16;12.3022;3.912774;25.6609;33.8814;6.0273;99.548;0.7052
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;16.25;12.2869;3.912539;25.6611;33.8793;6.0036;99.135;0.6668
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;16.5;12.2669;3.912494;25.6828;33.9031;6.011;99.237;0.6625
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;16.75;12.2343;3.911269;25.7014;33.9245;6.0049;99.127;0.6491
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;17;12.1822;3.907055;25.6764;33.8873;5.9717;98.516;0.6344
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;17.25;12.1109;3.900728;25.6871;33.8881;5.9051;97.311;0.6093
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;17.5;12.017;3.891909;25.674;33.8556;5.7955;95.359;0.6031
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;17.75;11.9059;3.881007;25.6595;33.8119;5.6581;92.872;0.5847
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;18;11.7994;3.87086;25.6951;33.8214;5.5053;90.085;0.5664
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;18.25;11.725;3.865036;25.7861;33.9053;5.3394;87.165;0.5646
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;18.5;11.6856;3.863132;25.845;33.9656;5.1126;83.381;0.5639
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;18.75;11.6734;3.863234;25.8611;33.9832;4.8896;79.73;0.5731
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;19;11.6731;3.863731;25.8614;33.9837;4.828;78.727;0.5631
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;19.25;11.6743;3.864337;25.8637;33.9871;4.8713;79.438;0.5871
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;19.5;11.6741;3.864824;25.8666;33.9914;4.9166;80.182;0.5688
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;19.75;11.6697;3.864922;25.868;33.9935;4.946;80.666;0.5802
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;20;11.6552;3.864163;25.8738;34.0018;4.9591;80.889;0.5472
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;20.25;11.6272;3.861725;25.8482;33.968;4.9668;80.992;0.5677
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;20.5;11.5914;3.858381;25.8392;33.9496;4.9703;80.992;0.5757
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;20.75;11.55;3.854561;25.849;33.9503;4.9673;80.855;0.5933
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;21;11.5103;3.850914;25.8727;33.9663;4.9509;80.494;0.5917
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;21.25;11.4799;3.848271;25.8998;33.9899;4.8976;79.56;0.5706
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;21.5;11.4597;3.846612;25.9088;33.9962;4.8064;78.044;0.5506
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;21.75;11.4456;3.845562;25.9142;34;4.7451;77.028;0.5319
